"Частота, Гц","Коэффициент давления, дБ"
100,-0.90506647348715
200,-2.7239137854804
300,-4.20407809310202
400,-4.82665091047545
500,-4.73285130395393
600,-4.56166669020994
700,-4.68421241743187
800,-5.08343791621479
900,-5.45011123034315
1000,-5.99234918973834
1100,-7.84874093291841
1200,-12.5317528774594
1300,-26.528300849805
1400,-53.0938836484788
1500,-96.823942444654
1600,-129.979814787854
1700,-76.2154001196801
1800,-34.277169198514
1900,-38.3992293347083
2000,-38.6725056719597
2100,-36.7270207606481
2200,-36.8486044387904
2300,-37.3724382436614
2400,-35.5216618140591
2500,-35.5554894697375
2600,-37.2786055555576
2700,-41.3430722087011
2800,-51.8073330398883
2900,-76.1077715733664
3000,-106.023196375269
